Date,Cash Tips,Hours,Wage,Total Income
1/16/2022,191,8,15,311
1/18/2022,53,6,15,143
1/19/2022,130,6,15,220
1/21/2022,222,8,15,342
1/22/2022,138,9,15,273
1/26/2022,130,6,15,220
1/28/2022,200,9,15,335
1/29/2022,176,5.5,15,258.5
2/1/2022,121,6.5,15,218.5
2/2/2022,130,6.5,15,227.5
2/5/2022,184,8,15,304
2/6/2022,167,6,15,257
2/8/2022,142,6,15,232
2/9/2022,151,8,15,271
2/11/2022,243,8,15,363
2/12/2022,320,9,15,455
2/14/2022,115,6,15,205
2/15/2022,87,6,15,177
2/16/2022,120,6.5,15,217.5
2/18/2022,271,8.5,15,398.5
2/19/2022,271,9.5,15,413.5
2/22/2022,104,6,15,194
2/23/2022,176,6.5,15,273.5
2/25/2022,178,7,15,283
2/26/2022,276,8,15,396
3/1/2022,90,6,15,180
3/2/2022,125,6,15,215
3/4/2022,204,8,15,324
3/5/2022,169,8,15,289
3/6/2022,137,8,15,257
3/8/2022,108,6,15,198
3/9/2022,122,6,15,212
3/11/2022,270,8,15,390
3/12/2022,255,11,15,420
3/13/2022,140,7.5,15,252.5
3/15/2022,111,6.5,15,208.5
3/16/2022,160,6.5,15,257.5
3/17/2022,162,8,15,282
3/18/2022,263,9,15,398
3/19/2022,50,4,15,110
3/20/2022,208,8,15,328
3/22/2022,177,6.5,15,274.5
3/23/2022,196,8,15,316
3/25/2022,156,9,15,291
3/26/2022,208,9,15,343
3/30/2022,240,7,15,345
4/1/2022,225,8,15,345
4/2/2022,222,9,15,357
4/3/2022,111,8,15,231
4/5/2022,170,6,15,260
4/6/2022,136,7.5,15,248.5
4/8/2022,295,9,15,430
4/9/2022,290,10,15,440
4/10/2022,220,8.5,15,347.5
4/12/2022,148,6.5,15,245.5
4/13/2022,180,7.5,15,292.5
4/15/2022,190,8,15,310
4/16/2022,251,8.5,15,378.5
4/19/2022,120,6.5,15,217.5
4/20/2022,107,6.5,15,204.5
4/22/2022,232,8,15,352
4/23/2022,220,9,15,355
4/24/2022,100,6.5,15,197.5
4/26/2022,140,6.5,15,237.5
2/27/2022,179,8,15,299
4/29/2022,268,8,15,388
4/30/2022,183,8.5,15,310.5
5/3/2022,125,6,15,215
5/4/2022,95,6,15,185
5/6/2022,188,7.5,15,300.5
5/7/2022,217,8.5,15,344.5
5/8/2022,186,7.5,15,298.5
5/10/2022,162,6.5,15,259.5
5/11/2022,151,6,15,241
5/13/2022,222,8.5,15,349.5
5/14/2022,207,9.75,15,353.25
5/17/2022,160,6,15,250
5/20/2022,255,8.5,15,382.5
5/21/2022,181,10,15,331
5/22/2022,200,9,15,335
5/24/2022,100,8,15,220
5/25/2022,100,6,15,190
5/26/2022,100,6,15,190
5/27/2022,40,1.5,15,62.5
5/28/2022,170,8.5,15,297.5
5/29/2022,227,9,15,362
5/31/2022,112,6,15,202
6/2/2022,120,6.5,15,217.5
6/3/2022,172,6,15,262
6/5/2022,276,6,15,366
6/7/2022,146,6,15,236
6/8/2022,147,6,15,237
6/9/2022,210,6.5,15,307.5
6/10/2022,337,14.5,15,554.5
6/11/2022,219,9,15,354
6/12/2022,490,12,15,670
6/14/2022,162,6,15,252
6/15/2022,115,6,15,205
6/25/2022,197,11.5,15,369.5
7/1/2022,205,8.5,15,332.5
7/2/2022,216,8,15,336
7/3/2022,180,8,15,300
7/5/2022,106,5,15,181
7/6/2022,178,7,15,283
7/8/2022,215,8,15,335
7/9/2022,127,7,15,232
7/10/2022,140,6,15,230
7/12/2022,100,6,15,190
7/13/2022,170,7,15,275
7/15/2022,197,8,15,317
7/16/2022,180,8,15,300
7/17/2022,180,8,15,300
7/19/2022,85,6,15,175
7/20/2022,200,7.5,15,312.5
7/22/2022,244,7.5,15,356.5
7/23/2022,125,4,15,185
7/24/2022,180,8,15,300
7/26/2022,120,6,15,210
7/27/2022,205,6.5,15,302.5
7/29/2022,262,8,15,382
7/30/2022,129,6,15,219
7/31/2022,251,6,15,341
8/2/2022,95,6.5,15,192.5
8/3/2022,140,7,15,245
8/5/2022,289,8,15,409
8/6/2022,200,6,15,290
8/7/2022,249,6,15,339
8/9/2022,127,6,15,217
8/10/2022,100,8,15,220
8/12/2022,235,8,15,355
8/13/2022,366,8,15,486
8/14/2022,287,6.5,15,384.5
8/16/2022,138,6.5,15,235.5
8/17/2022,185,7,15,290
8/19/2022,265,8,15,385
8/20/2022,177,6.5,15,274.5
8/21/2022,249,6.5,15,346.5
8/23/2022,115,6,15,205
8/24/2022,180,7,15,285
8/26/2022,317,8,15,437
8/27/2022,236,7.5,15,348.5
8/28/2022,300,6.5,15,397.5
8/30/2022,325,11,15,490
8/31/2022,121,6.5,15,218.5
9/2/2022,217,8,15,337
9/3/2022,197,6,15,287
9/4/2022,290,6,15,380
9/6/2022,63,6,15,153
9/7/2022,80,6,15,170
9/9/2022,199,8,15,319
9/10/2022,207,6.5,15,304.5
9/11/2022,341,6.5,15,438.5
9/13/2022,115,6.5,15,212.5
9/14/2022,135,6.5,15,232.5
9/16/2022,266,8,15,386
9/17/2022,234,8,15,354
9/18/2022,262,6.5,15,359.5
9/20/2022,127,6,15,217
9/21/2022,107,6.5,15,204.5
9/23/2022,225,8,15,345
9/24/2022,200,6.5,15,297.5
9/25/2022,165,6.5,15,262.5
9/27/2022,140,7,15,245
9/28/2022,120,7,15,225
9/30/2022,248,9,15,383
10/1/2022,289,11,15,454
10/2/2022,230,6.5,15,327.5
10/4/2022,120,6.5,15,217.5
10/5/2022,120,6.5,15,217.5
10/7/2022,198,8.5,15,325.5
10/8/2022,133,6,15,223
10/9/2022,220,6,15,310
10/11/2022,29,6,15,119
10/12/2022,80,8,15,200
10/14/2022,188,8,15,308
10/15/2022,120,6,15,210
10/16/2022,189,6,15,279
10/18/2022,95,6,15,185
10/19/2022,95,6,15,185
10/21/2022,252,6,15,342
10/22/2022,287,8.5,15,414.5
10/23/2022,176,6,15,266
10/24/2022,170,9.5,15,312.5
10/25/2022,153,6,15,243
10/28/2022,307,8,15,427
10/29/2022,225,10,15,375
10/30/2022,240,5.5,15,322.5
11/1/2022,100,6,15,190
11/2/2022,50,6,15,140
11/4/2022,219,9.5,15,361.5
11/5/2022,270,9.5,15,412.5
11/6/2022,245,6,15,335
11/8/2022,200,6,15,290
11/9/2022,104,6,15,194
11/11/2022,353,8,15,473
11/12/2022,155,6.5,15,252.5
11/13/2022,252,6.5,15,349.5
11/15/2022,100,6,15,190
11/16/2022,70,6.5,15,167.5
11/18/2022,218,8,15,338
11/19/2022,160,6,15,250
11/20/2022,216,6.5,15,313.5
11/22/2022,313,6.5,15,410.5
11/23/2022,430,11.5,15,602.5
